TargetName	Module	CodeClass	GeneID	SystematicName	Negative	DetectedSegments	DetectionRate
F12	Hs_R_NGS_WTA_v1.0	Endogenous	2161	F12	FALSE	22	0.10945273631840796
FBP1	Hs_R_NGS_WTA_v1.0	Endogenous	2203	FBP1	FALSE	65	0.32338308457711445
GALNS	Hs_R_NGS_WTA_v1.0	Endogenous	2588	GALNS	FALSE	33	0.16417910447761194
GH1	Hs_R_NGS_WTA_v1.0	Endogenous	2688	GH1	FALSE	67	0.3333333333333333
HBA2	Hs_R_NGS_WTA_v1.0	Endogenous	3040	HBA2	FALSE	166	0.8258706467661692
HBB	Hs_R_NGS_WTA_v1.0	Endogenous	3043	HBB	FALSE	129	0.6417910447761194
HEXA	Hs_R_NGS_WTA_v1.0	Endogenous	3073	HEXA	FALSE	195	0.9701492537313433
HEXB	Hs_R_NGS_WTA_v1.0	Endogenous	3074	HEXB	FALSE	167	0.8308457711442786
KCNJ11	Hs_R_NGS_WTA_v1.0	Endogenous	3767	KCNJ11	FALSE	53	0.263681592039801
LDLR	Hs_R_NGS_WTA_v1.0	Endogenous	3949	LDLR	FALSE	27	0.13432835820895522
PCCB	Hs_R_NGS_WTA_v1.0	Endogenous	5096	PCCB	FALSE	72	0.3582089552238806
PMS1	Hs_R_NGS_WTA_v1.0	Endogenous	5378	PMS1	FALSE	58	0.2885572139303483
REN	Hs_R_NGS_WTA_v1.0	Endogenous	5972	REN	FALSE	75	0.373134328358209
SMPD1	Hs_R_NGS_WTA_v1.0	Endogenous	6609	SMPD1	FALSE	100	0.4975124378109453
